,funded_amnt_inv,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,mths_since_last_major_derog,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
funded_amnt_inv,1.0,0.08235967591765075,0.9457711468785629,0.18578201439400288,0.04098520303906736,-0.01370041349604448,-0.025395318266610272,-0.009811823529486188,0.01627892214123919,0.17956048652377277,-0.06490160790382503,0.10285815926193972,0.19643016344444256,0.48613475537133377,0.48615267092651787,0.6532218856041031,0.6532698996536811,0.5883258446107757,0.5780313707081557,0.06356118769809314,0.0958274125671327,0.09336260634446136,0.3255854531998047,-0.02394269510757153,0.006253441097911252,-0.0008462347205627425,-0.006121970733469719,0.3121501355864304,-0.023047488051441228,0.03366440649307959,-0.003608672632444276,0.019402175681481223,-0.011859506078608686,0.15046249940027187,-0.08937946775143032,-0.046559084206926366,-0.036430493718739874,0.3722235064721427,0.0033567608640648777,0.32868874843145557,-0.0044807048340462724,0.07555423505766255,0.0074104584041069605,-0.004237861969663787,0.2270743222391576,0.20743211386909655,0.051226074225594914,-0.005268842710266624,0.0009555760276150907,0.12544002346803074,0.16754030700089917,0.053833963708579444,0.029988705453206716,0.2206292865565315,0.03756129619308091,-0.0321292323665638,0.0038415343178742636,-0.023465126829728046,-0.05560496888987382,0.19382806816348955,0.15070721169154003,0.21437871877381628,0.19378407013521456,0.07964440660617421,0.16274316963192628,0.1627813527961556,0.15024955971546516,0.18020327508562747,-0.0019195405754627549,0.0011327092100206111,-0.024702635987784802,-0.029065651100036796,0.09275668761268371,0.02326600658935222,-0.08922559977094123,0.005368406065483647,0.3371389174485336,0.27697654369098945,0.3751475698001837,0.20771830956741538
int_rate,0.08235967591765075,1.0,0.10715884681370187,-0.05021959613424104,0.12208193249418531,0.05891012901238115,0.19036060542396882,-0.045078868123066156,-0.015488272418947038,-0.01689509800079502,0.05511144463157282,0.2595737408265779,-0.0463630327275572,0.025896956611574946,0.02592461861431861,0.10333231785506493,0.10334021578168591,-0.012048895249457998,0.40547828238871597,0.06038421900847466,0.12083118303207614,0.11432047818337501,0.09531867565102045,0.019011337542275346,-0.032661829754460546,0.01666903268485304,0.005063605283293317,-0.08550571753233391,0.1328410621207089,0.030733652589413286,0.15493113861737576,0.1474595145167844,-0.08432322347451568,0.034243803465181015,0.14248730854152084,0.1170331630234173,0.1242429273876697,-0.05921946250887916,0.2924434629263493,-0.1821758993733706,0.13441128884585785,0.009121198406083806,0.1625881264996972,0.16837506974872218,-0.0816421992368696,-0.2995084593918764,0.2784355748886545,0.014276329769415449,0.005500694806701939,-0.06361770077116939,-0.13344887599114977,-0.09113057317936338,-0.10971692012710396,-0.09149111436000196,-0.07340626411531954,-0.01950890847309586,-0.14157630155268544,-0.024885731633030907,0.053102728898895384,0.01870744694515698,0.08069526802945182,-0.06452402118991864,-0.0877257628180883,0.013668628380075827,-0.019201715341036655,-0.05866784138285039,0.08044927681658175,-0.01752788860781648,0.006131779847728865,0.01384077029261576,0.03398618840313159,0.1782478813615618,-0.08263707892109413,0.2730775094827819,0.058371758415709775,0.01472535573647327,-0.12427747992173346,0.005292364833389196,-0.24283102174475416,-0.0030278825311095847
installment,0.9457711468785629,0.10715884681370187,1.0,0.1793388801876919,0.042173925217477023,-0.00196906877687699,0.0003964148516245924,-0.01952734868816076,0.0008657442681884778,0.16864163042090108,-0.05252831365225123,0.12406024161044801,0.1756371253684208,0.3994187555504069,0.3994039484390584,0.6546906324978484,0.654691530411193,0.609658080899263,0.5151853994739621,0.07428878208063953,0.09516495449346919,0.09276741256882096,0.3156207019365516,-0.019333562827896708,-0.0010297047233008415,0.0018208609631634517,-0.004961432763098601,0.27995236113998545,-0.006768349572335827,0.028162733672031787,0.006041259731885153,0.025433371080664492,-0.013619696655213585,0.13872889685038695,-0.08340728258108777,-0.02317411821344853,-0.01114561213040729,0.35372131806193347,0.02842352028114145,0.2987963443840407,0.006373808409304886,0.06187744757190349,0.023412116779420306,0.014193732921036338,0.1996116141280176,0.170440884402607,0.07641102024236936,-0.002251059188324054,0.002137430715205262,0.1014885546972842,0.1441931391897003,0.035158544702182805,0.017508703140202312,0.18650820850037836,0.019602461600689614,-0.035463691910843545,-0.010255270027103249,-0.029145419584626655,-0.0449350543869408,0.19645590242911953,0.15773535875986253,0.2064840329320464,0.1845398341875324,0.06349593304676195,0.15899699858028696,0.1543532272657608,0.15700971728587157,0.16914018637785702,-0.0004039472808923214,0.0031398385138135185,-0.01814494823741572,-0.006884455758875284,0.07355944732318237,0.04591548520743708,-0.08020636910731187,0.012494205945367941,0.3017458404506259,0.25974285186766166,0.33916482626808103,0.19076069214394067
annual_inc,0.18578201439400288,-0.05021959613424104,0.1793388801876919,1.0,-0.07873648275812967,0.02390382624460048,0.02028985823642428,-0.029375212998584335,-0.05572357056552054,0.08834202800016759,-0.0035340943413874394,0.028558840839533483,0.10775505631840575,0.07967247312375432,0.0796752027370609,0.12788530615953278,0.12790361978195097,0.12746109395822688,0.07622096107724227,0.017051396297764868,0.007380555824284677,0.007366834924593755,0.06929494933174106,-0.003758736504614773,-0.01460897624492408,0.006902280633833702,-0.000634874567506662,0.2402234581642222,0.02298102023292506,0.044084570667535454,0.04798967811225903,0.06341845458981751,-0.04505416256785028,0.11614005698681522,-0.038567063204939044,-0.0018859402890909643,-0.0037297036542778004,0.15030805885155019,0.010422384590545168,0.17449964493261455,0.03404143794085163,0.028103219352065986,0.03914725295535255,0.03843288873898202,0.17954707123379143,0.09784665737585777,0.0061356558283096226,0.004082065738925248,0.0036355334261191944,0.07498646693859576,0.08347537727516068,0.017347041634758874,-0.017688765972198577,0.12792259917368992,0.015119841812711508,-0.02323447935452702,-0.026225440735551827,-0.021553750726409675,0.007436045681801778,0.0732283633129582,0.054968200884235256,0.08220516993774517,0.08292081551598651,0.06553113511182536,0.054745390383466874,0.06577198072205952,0.054261254838345034,0.08825965454420065,0.00248638806402633,0.006456531231915138,0.0032819994496703854,0.032850774706954,-0.004040475069346341,-0.00149921719889098,-0.027034134628848416,0.023080966530689796,0.25086516337624765,0.1963306858300533,0.1688501108901583,0.16672320018934586
dti,0.04098520303906736,0.12208193249418531,0.042173925217477023,-0.07873648275812967,1.0,-0.01366504624634649,-0.007694693682323081,0.01401277015004909,0.05911881032026247,0.18055042357743675,-0.02999527095765421,0.1126921509096373,0.14333444101562104,0.06526119481964833,0.06525338615550831,-0.0050093126899993,-0.005037546785541981,-0.025794122881812324,0.05997671315870792,0.0009570988239475821,0.01705788740746431,0.017571526318371784,-0.018452345210311208,-0.00857731635612883,0.025049092073955878,-0.0010682614441699962,-0.0033169521856678675,0.02205631849251455,0.01533812902311296,0.14357777299079924,0.09621299897267253,0.13599634676851952,-0.13569315877155227,0.15572073498094907,-0.013146847167709662,-0.011445495882253449,0.0040312045658162385,0.08218416559405399,0.12330745704324707,0.06124582923926058,0.05421742802903459,0.08226999360897072,0.02546298636874014,0.08139779420358834,-0.05541946087898824,-0.034519154055451425,0.11593240434759708,-0.004410857922877816,-0.004314729213048597,0.03811387987138342,0.04094783745824065,-0.006566871519868681,-0.05281246439932756,-0.009255827459195278,0.003531699807992461,0.011363096927035934,0.006147329863746664,0.0070526885293214015,-0.02914119832295809,0.10912272178862671,0.15716367151091773,0.0705431412342262,0.047801456685785,0.14368511923788804,0.11483165399954612,0.0864551917225428,0.15950715063053167,0.18055776235392684,-0.003406533976501153,0.0010475960661872924,-0.013028231023315484,0.04352907362954798,0.06519624161962136,0.10247072654966231,-0.01625604235075233,-0.022273549866543212,0.032149862344426614,0.19282853214381493,0.03809119448019188,0.2190013614271799
delinq_2yrs,-0.01370041349604448,0.05891012901238115,-0.00196906877687699,0.02390382624460048,-0.01366504624634649,1.0,0.02858229248215785,-0.5526144070434507,-0.07857619004977064,0.04745440006562157,-0.023885829009726252,0.0031300488032269336,0.1177015370939842,-0.03537208527253214,-0.0353794774984134,0.018145659917870538,0.01812176954581474,0.010382742865310036,0.032469306120404655,0.03483160416379785,0.014408255045673182,0.014367032132484199,-0.0042789394758727724,0.07202807605161256,-0.43537134182656034,0.11585495761958045,0.0004190478353780451,0.05516732628371056,0.00435605480518635,0.05500833239026784,-0.006148341831283183,-0.019957195832987062,0.00888143526408244,0.04454368042334732,-0.007804084155265974,-0.017228681896133816,-0.04175373996357728,-0.050589847007487594,0.024821278816295214,-0.04829215187686867,0.017153521874147173,0.017689289378424285,0.029891375887207538,-0.05024538875616856,0.04384139651124447,-0.0620535112813829,0.006237145172369657,0.14062464015440163,0.028204015072307034,0.07916887544767368,0.07818670864782153,0.024782462840198274,0.017551777438555752,0.07360197738375751,0.052017226708165644,-0.4688723292210862,-0.02928044552380879,-0.4997989155602436,0.21857977677332793,-0.0366243654671514,0.0008413629528056423,-0.03070905734126606,0.034453343332559845,0.08225486130986485,0.008274414885625464,0.07915655192566544,-0.0034398378283075222,0.045106955308907876,0.0433011268548175,0.0973719874391452,0.6579231619412862,-0.021729868698079212,-0.4417778156239149,0.0025029947755461027,-0.05151959574139233,0.01069191991543407,0.05523450864049631,0.02639301257594838,-0.07908731949123467,0.054903611638374414
inq_last_6mths,-0.025395318266610272,0.19036060542396882,0.0003964148516245924,0.02028985823642428,-0.007694693682323081,0.02858229248215785,1.0,0.012409401877226082,-0.0834054804908406,0.1483204163884787,0.07318237035212964,-0.08071723777434306,0.16243437558011833,-0.08398538762740683,-0.08399142721823173,0.0361237068926693,0.036099186699594464,0.023236380810081256,0.05303307627211321,0.017550062102446817,0.04457360147522358,0.04111798980108534,0.04561134974452291,0.01414314411809725,-0.02066557240177058,-0.00011143065770812078,0.005779775356017855,0.03147117701085695,0.42735715805112356,0.03766489973649714,0.1700568133501947,0.1433443124437087,-0.09152360663224132,0.0610162926880699,0.08645487579788733,0.32954471034907706,0.2917582086407289,-0.05788964484297488,-0.034917808732526916,0.021393918554085924,0.21500437820383964,0.03962707828372987,0.4774703194319897,0.28286723430709676,-0.023731967540627504,0.015218905423518721,-0.06988229404956403,0.013172132869265484,0.0013587183865194847,0.013531085355645782,-0.003528781385978153,-0.18911252110006394,-0.22641442616493437,0.04672893701041486,-0.13070521844855773,0.034484072433366625,-0.561271075235391,0.028397819722617974,0.05067400848527796,0.07808325522860265,0.1287625116717419,0.1252977920705693,0.14158281026085723,0.06960521977389979,0.14987849371820364,0.16577890505539958,0.11060184416014127,0.1452416528252413,0.0006232415983593876,-0.0026953894469249466,0.030068646910114873,0.33166097209888273,-0.029613272480097628,-0.06268775475302933,0.08123185636096432,0.017244743597341485,0.032367287948598146,0.03861490819412157,-0.0017184584694518246,0.0453050533482544
mths_since_last_delinq,-0.009811823529486188,-0.045078868123066156,-0.01952734868816076,-0.029375212998584335,0.01401277015004909,-0.5526144070434507,0.012409401877226082,1.0,-0.040026243446179034,-0.03854388668572949,0.07465660902095601,-0.000244330802582881,-0.04624987649607244,0.03343125695021108,0.03343449441727725,-0.04142481281616114,-0.04139777335935541,-0.03338421548086233,-0.046563844264667295,-0.03183535654026531,-0.014128497020082837,-0.01338854469775534,0.003841949328105455,-0.039538700898491846,0.7078585590650646,-0.13120375399828565,0.010466695887442342,-0.06853235185922629,0.04419448305570912,-0.022471663549194748,0.043676219777018195,0.05343748171589798,-0.01694831969405645,-0.00994097512895652,0.05142618232609579,0.06271000643018457,0.08995368699517887,0.006918030110111351,0.016808293538573313,-0.009743817329798767,0.009093728607376464,-0.006591751157305379,0.009236890106134344,0.11275780771719754,-0.05525816570657549,0.0043324345636044925,0.00271588430307253,-0.10140234763890511,-0.03278191048160404,0.002222792504708735,-0.042555613567000265,-0.06116495069371698,-0.06156734047237922,-0.06060452504515501,-0.07869119411266803,0.7677622933593742,-0.003951788869870266,0.8640830055462124,0.009148027615540082,0.027971779947258395,0.008183426038925832,0.01876701915509292,-0.0022140942548825255,-0.01135923722067604,-0.014665398912756153,-0.03905283247346082,0.008091235557301794,-0.03699080429223226,-0.051157766418633684,-0.10960719385173104,-0.22341247797683245,0.08513605034904838,0.19073730384947743,-0.000724502953586763,0.10711787905761522,0.0037653239182569662,-0.07767387719726178,-0.020481565041375875,0.0059079220658531115,-0.032307776917977024
mths_since_last_record,0.01627892214123919,-0.015488272418947038,0.0008657442681884778,-0.05572357056552054,0.05911881032026247,-0.07857619004977064,-0.0834054804908406,-0.040026243446179034,1.0,0.022843460141907433,-0.28824626656940133,0.030673657715271672,-0.1668366698623637,0.13621264229228838,0.13621672956966627,-0.09964079410583196,-0.09958944830157314,-0.09433031333987507,-0.06863882051265498,-0.03966949745550914,-0.02588965371575454,-0.026559167186681883,-0.012172249572023232,-0.023284102316192566,0.035873614154239626,-0.020143843471121796,-0.043551394905117495,0.002794701613630327,-0.0677580512283955,-0.0011481962577472042,-0.013631828004892044,0.011866980985682363,-0.027221876353148697,-0.002695067588325712,-0.055825677031986466,-0.10922887257753632,-0.12298055632152677,0.022199010950291986,-0.04437031361108065,0.017567153355876823,-0.032221312610541605,0.0017529159178570595,-0.07529627893639786,-0.07960081834852833,-0.009821044447296522,0.019416586492257224,0.04488995914084377,-0.030952090545431597,-0.010365118291340139,-0.0749696010658627,-0.14038327846967047,0.03634313835780981,0.043869687005842345,-0.12752395604486835,0.0319457550819414,-0.08191173637640517,0.06636956212431622,-0.09008386008312586,-0.16264208728858134,0.020238321737843484,0.03307718256095282,-0.009980777520932963,-0.18479705693833542,-0.04216799945650549,0.0344899464485521,-0.16706982777325521,0.041988317801391735,0.03273185533906939,-0.011315797748980979,-0.013230644020874583,-0.07166443390330664,-0.08703528888631676,0.2127194294029887,0.05409230936953811,0.26052708056543755,-0.3055888978754962,-0.001118955944043676,-0.012518410538061773,0.02263672292459037,-0.006394137252584573
open_acc,0.17956048652377277,-0.01689509800079502,0.16864163042090108,0.08834202800016759,0.18055042357743675,0.04745440006562157,0.1483204163884787,-0.03854388668572949,0.022843460141907433,1.0,-0.02012755782157614,-0.13782461540309762,0.7201879904391227,0.06509342264419582,0.06508960687883271,0.1314680117460641,0.13146562675553455,0.12184159275689539,0.10359071854471488,0.0030288704432814566,0.027095044767160417,0.027508237039955637,0.0695369078949024,0.006456890442346846,0.012020945885344655,0.016253226159205218,0.0014482842916953207,0.2565592604816126,0.28393347664605684,0.5219406717346281,0.18249483718962042,0.2551126330960774,-0.16738738474198198,0.34896307845240787,0.1283632197276053,0.3530255720098726,0.45666042790671013,0.12150876097877238,-0.007128436468376347,0.3967068331460836,0.11932437124684891,0.1120203728844519,0.18303261485621547,0.4935625345448216,-0.10749949925842082,0.31730627551788987,-0.09962197120259324,0.005398805459043294,0.0029873062564854573,0.14661667479277246,0.147297630879403,-0.23870199399057734,-0.23532524229558402,0.135675301189898,-0.21079686910469186,-0.019756505679371483,-0.10716586902701067,-0.0541077512416814,0.02214477554627193,0.5616605314995378,0.6722478476750995,0.6434350007001506,0.5461461153062989,0.39874832224637075,0.8379796484466877,0.6712277401142767,0.6744343818445786,0.9989658006999141,0.003841383122259413,0.014814992410877378,0.010294153069534162,0.3718883247998587,0.11148005407020098,-0.08897185002714832,-0.021796149752357094,-0.007072899693163638,0.29925965352633893,0.40587881482236426,0.3878341604424323,0.3687104110331957
